#,Company,Email,Person,Title,Region,Notes
100,Digital14,info@digital14.com,Hiring Team,—,Dubai/UAE,Abu Dhabi digital trust
101,BRAVA 360 Digital,info@brava360.digital,Hiring Team,—,Dubai/UAE,Dubai digital agency
102,Digital Hub Sol,info@digitalhubsol.ae,Hiring Team,—,Dubai/UAE,Dubai digital agency
103,Magneto IT Solutions,info@magnetoitsolutions.com,Hiring Team,—,Dubai/UAE,Send cold email
104,BitsWits,info@bitswits.co,Hiring Team,—,Dubai/UAE,Send cold email
105,Soharon Infotech,info@soharon.com,Hiring Team,—,Dubai/UAE,Send cold email
106,Hexagon IT Solutions,info@hexagonitsolutions.com,Hiring Team,—,Dubai/UAE,Send cold email
107,Computools,info@computools.com,Hiring Team,—,Dubai/UAE,Send cold email
108,CraftedQ,info@craftedq.com,Hiring Team,—,Dubai/UAE,Send cold email
109,Dot IT,info@dotit.org,Hiring Team,—,Dubai/UAE,Dubai web dev agency
110,SEO Tech Experts,info@seotechexperts.ae,Hiring Team,—,Dubai/UAE,Dubai-based .ae domain
111,KONSTANT INFOSOLUTIONS,info@konstantinfo.com,Hiring Team,—,Dubai/UAE,Send cold email
112,Kuchoriya TechSoft,info@kuchoriyatechsoft.com,Hiring Team,—,Dubai/UAE,Send cold email
113,Quixta,info@quixta.com,Hiring Team,—,Dubai/UAE,Send cold email
114,GCC Marketing,info@gcc-marketing.com,Hiring Team,—,Dubai/UAE,Dubai digital marketing
115,Incrementors,info@incrementors.com,Hiring Team,—,Dubai/UAE,Send cold email
116,Classera,info@classera.com,Hiring Team,—,Dubai/UAE,Saudi/UAE EdTech platform
117,Glimpse,info@theglimpseproject.com,Hiring Team,—,Dubai/UAE,Dubai creative agency
118,Suffescom Solutions,info@suffescom.com,Hiring Team,—,Dubai/UAE,Send cold email
119,Probey Services,info@probeyservices.com,Hiring Team,—,Dubai/UAE,Send cold email
120,EffectiveSoft,info@effectivesoft.com,Hiring Team,—,Dubai/UAE,Send cold email
121,Enova by Veolia,recruitment@enova-me.com,Hiring Team,—,Dubai/UAE,VERIFIED from LinkedIn post — direct recruitment inbox
122,Melodica UAE,sasha.w@melodica.ae,Sasha W.,Hiring Manager,Dubai/UAE,VERIFIED from LinkedIn post — named contact
123,Deriv,recruitment@deriv.com,Hesilin Pouzi,TA Specialist,Dubai/UAE,Dubai office; TA Specialist found on LinkedIn
124,Emirates Group,careers@emirates.com,Hiring Team,—,Dubai/UAE,Paid internship programme — 4000 AED/month
125,Mubadala Investment,careers@mubadala.com,Hiring Team,—,Dubai/UAE,Abu Dhabi sovereign fund — internship programme confirmed
126,BCG X Dubai,careers-uae@bcg.com,Hiring Team,—,Dubai/UAE,CONFIRMED AI Engineer + Data Scientist internships in Dubai 2026
127,Thales UAE,careers-uae@thalesgroup.com,Hiring Team,—,Dubai/UAE,CONFIRMED AI/ML intern roles in Dubai/Abu Dhabi 2026
128,Carmatec,teamhr@carmatec.com,Hiring Team,—,Dubai/UAE,careers@ + teamhr@ both confirmed from search
129,SISGAIN,hr@sisgain.ae,Hiring Team,—,Dubai/UAE,DIRECT HR EMAIL scraped ✅ — also hello@sisgain.ae
130,AIQU Solutions,hello@aiqusearch.com,Hiring Team,—,Dubai/UAE,Abu Dhabi/Dubai/Riyadh — email confirmed
131,Quickwork,info@quickwork.co,Hiring Team,—,Dubai/UAE,Send cold email
132,Hyperlink InfoSystem,info@hyperlinkinfosystem.com,Hiring Team,—,Dubai/UAE,Send cold email
133,Xicom Technologies,info@xicom.biz,Hiring Team,—,Dubai/UAE,Dubai Business Bay office
135,iCreativez Technology,info@icreativez.com,Hiring Team,—,Dubai/UAE,Dubai + Pakistan + Qatar
137,Talabat Tech,tech@talabat.com,Hiring Team,—,Dubai/UAE,Talabat confirmed AI Engineering Intern 2026
138,Phaedra Solutions,hello@phaedrasolutions.com,Hiring Team,—,Dubai/UAE,Dubai + UK + USA
140,Exceed IT Services,info@exceedgulf.com,Hiring Team,—,Dubai/UAE,Abu Dhabi UAE
141,SQUATWOLF,careers@squatwolf.com,Hiring Team,—,Dubai/UAE,"Dubai fitness tech; support@ confirmed, careers@ standard pattern"
142,Deriv,careers@deriv.com,Hiring Team,—,Dubai/UAE,"ACTIVE AI hiring confirmed — LLM, agent systems, fintech"
143,Huspy (3rd contact — CEO),CEO@huspy.com,Tariq Tber,CEO / Co-Founder,Dubai/UAE,Founder-led — cold email to CEO gets replied to at startups
144,DRC Systems,careers@drcsystems.com,Hiring Team,—,Gandhinagar/Ahmedabad,VERIFIED ✅ careers@ + info@ + sales@; GIFT City 24th Floor; Dubai office too
145,Argusoft India,jobs@argusoft.com,Hiring Team,—,Gandhinagar/Ahmedabad,DIRECT JOBS EMAIL ✅ — A66 GIDC Sector-25 Gandhinagar
147,Bosc Tech Labs,hr@bosctechlabs.com,Hiring Team,—,Gandhinagar/Ahmedabad,DIRECT HR EMAIL ✅ — Sargasan Gandhinagar; also contact@bosctechlabs.com
148,Cybage Software,careers@cybage.com,Hiring Team,—,Gandhinagar/Ahmedabad,DIRECT CAREERS EMAIL ✅ — Tower II Infocity Gandhinagar
149,Prismetric Technologies,biz@prismetric.com,Hiring Team,—,Gandhinagar/Ahmedabad,"604 IT Tower 1, Infocity Gandhinagar 382007"
150,Decimal Point Analytics,info@decimalpointanalytics.com,Hiring Team,—,Gandhinagar/Ahmedabad,D-601 WTC GIFT City Gandhinagar; financial research & ML/AI
151,Infibeam Avenues (AvenuesAI),contactus@avenuesai.com,Hiring Team,—,Gandhinagar/Ahmedabad,"VERIFIED ✅ contactus@ + ir@ + corpcom@; 28th Floor GIFT Two, GIFT City"
152,Prometheanz,contact@prometheanz.com,Hiring Team,—,Gandhinagar/Ahmedabad,"Office 120, Infocity Tower-1 Gandhinagar 382007"
153,Oddeven Infotech,hello@oddeveninfotech.com,Hiring Team,—,Gandhinagar/Ahmedabad,"Infocity Gandhinagar; Salesforce, AI, digital transformation"
154,Warlock Technologies,info@warlocktechnologies.com,Hiring Team,—,Gandhinagar/Ahmedabad,Kudasan Gandhinagar; Official Odoo Partner
